batch,idx,doc_id,title,domain,formula_dens,orig_chars,review_chars,ins,del
理工,1,03c9b8b6dfeea1dd8af1b103a044cd7e069003894a4474a23c0a6bfae0f2a3dc,Regular orbits of self-dual modules,数学,49.7,18013,49897,11392,770
理工,2,036f20d242ff6070e18a9dd0574d96499483e2bcb808daf76d858e10dbe81618,"A FORMALISATION, USING NON-STANDARD RULES, OF A 5-VALUED PROPOSITIONAL CALCULUS",数学,42.7,18695,48289,10686,1123
理工,3,04a546e91c51c09aa85b7f01dbbbff06fc9606bd5752a5b66b8f3b09da70af7b,Journal Pre-proof,数学,12.0,56981,94340,15964,5121
理工,4,038982e65605a9479c15d6a5c56d467f1bbacba8e10e256ed3e2b584d9a7bfcd,Enhanced Intradermal Delivery of Nanosuspensions of Antifilariasis Drugs Using Dissolving Microneedles: A Proof of Conce,数学,8.5,58178,121503,22306,3916
理工,5,04f513e4ce3d190149df9bb76b4a24d80f65c14adb94a11e18fe245d4664500a,The Differential Diagnosis and Bone Marrow Evaluation of New-Onset Pancytopenia,数学,7.9,48086,88129,14069,2313
理工,6,032eb0be855ecddfab78d4d84e5a1695c5d5ec20214b37beaa7210adee8f57db,Accepted Manuscript,数学,5.9,12675,28015,4873,290
理工,7,033ad59c838a0d954a758d8fb25b802d8e5fd66e0b3d1b7c5aa4930acc3ce0d1,Journal Pre-proof,数学,5.9,16070,26152,3727,763
理工,8,0516aeb7a80ea51033e7311ff80ec44f8e7d176828d9fa8fd6439cf974d55db6,Disorders of Consciousness: Differential Diagnosis and Neuropathologic Features,数学,4.8,37875,64917,8963,757
理工,9,030d01cf48478f956e61a44bbf12b4263d33fd892d69b792e8461c0bce7b8c42,Myeloma Multiplex versus Osteolytic Metastatic Carcinoma: Differential Diagnosis in Dry Bones,数学,4.1,17780,30833,4261,222
理工,10,028b78f96d107d851f7ccf0c6dcb94b3b8dcc1ea5545e9a8efa50578af09a7ff,The massive scalar field in a closed Friedmann universe model — new rigorous results,物理,29.2,34717,87777,18936,2626
理工,11,0266df01f5dc118f0c277e0e8c13c4e5561e76e6ae985501f9474578cbea44bd,Observation of Feshbach resonances in a Bose-Einstein condensate,物理,12.9,20040,40311,6975,730
理工,12,0383df0529713d59523b013143383d9bb4ceb4b9f252e93bb186ffb330cab4fb,Optimal treatment for severe neurogenic bowel dysfunction after chronic spinal cord injury: a decision analysis,物理,12.0,41535,68503,9525,1480
理工,13,04f2a24e6e5047f9461f59f2fb7129f9c655a1c4b16dd1281fa68dc28fac4e47,Conjugates of platinum nanoparticles with gallium tetra – (4-Carboxyphenyl) porphyrin and their use in photodynamic anti,物理,11.7,25156,50866,8957,1648
理工,14,033cbb8f3b90d1aa010dea6d1668af4c77b5463a73b68294a85ecea743b3d4b1,Design and analysis of all optical $2 \times 4$ decoder based on kerr effect and beams interference procedure,物理,11.1,23503,33105,4219,1329
理工,15,03aa9ce1cc5e7041ff6b3ff0f6b46ec7297e38deb1b7d524d277fa0d64efa6ae,Thinking locally: Reflections on Dynamical Mean-Field Theory from a high-temperature/high-energy perspective,物理,9.8,31965,56412,8437,1238
理工,16,048b2b19ea1139a96bbf2f7aa4bba573c2092ca730ca8355647f95d6352a2043,Condensation enhancement on hydrophobic surfaces using electrophoretic method and hybrid paint coating,物理,9.6,39956,85233,18719,5234
理工,17,022da8bdda70af5640b8f8c240c9759c7831c6324f4768e30b875a680902b59b,The properties of fossil groups of galaxies,物理,9.2,36359,67888,10768,1139
